model_config_id,config_snapshot,case_id,recommended_architecture,excluded_count,positive_factor_count,negative_factor_count,risk_count,uncertain_count,nearest_sensitivity_delta,nearest_tie_delta,validation_passed,status,based_on_incomplete_data,calculation_id,validation_errors
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,clear_winner,A1,0,3,3,3,0,0.2,,True,ok,False,6d83e8b4533aeb5be74d1cd297922fecf529a5a59e2f004d97398d50503329ee,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,one_excluded,A2,1,3,2,0,0,0.21,,True,ok,False,d5ce6368ba0da4cf44762887bcb6ef2d693c132b4b8dd30f3ed3dc03487d88e2,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,close_scores,A3,0,1,1,3,0,0.01,,True,ok,False,7f776f1530e57440095550f404c4a9a9054fdaf6007e2f35a6324caaa6729da6,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,estimated_data,A2,0,3,2,0,1,0.17,0.166666666667,True,ok,False,afce5267f5bfd2f6c1b2ba07265f050ae98d0a862a8b1b0c3cccd98ad57234ec,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,missing_with_model,A2,0,3,2,0,1,0.17,0.166666666667,True,ok,True,a442115708c2fcab45e7ad281509694608360e53254004bb7b996fe8680b13d4,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,sensitive_weights,A3,0,1,1,3,0,0.02,0.01,True,ok,False,ca4fadcd25b685154fab50221bc8c6d692e3134b66e149d9be29698eafaba33b,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,missing_blocked,,0,0,0,0,1,,,True,insufficient_data,True,b4c4672839eb695b5f3cf1ea33b073c9d61e0b7f91247b079bb48a5355ba03e4,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,tie,,0,0,0,0,0,,,True,tie,False,8fd31c1a068d0e49a95e6568841c2cf377bb39ccde4c400c33ea03e098a534c8,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,none_feasible,,3,0,0,0,0,,,True,no_feasible,False,40c39ef2fea8e8f01c71dd01d02cc2f874dc8fb2a86a1b9dc8c53e66564820ec,
sha256:c70ddb9e3982a9c245b4a512fae438ac0a66e907c4356f447b277c77ae9c4db9,experiment_results_config_snapshot.json,single_feasible,A1,2,0,0,3,0,,,True,ok,False,eb34e1b5af6c85c5dfd3d74b3739e5a677b1287d5d2fa950c8c57fde0ad808fc,
